procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 490132 885456 195288 1180728 15767 16557 20111 16856 23060 203 31 27 38 4 0 0
 0  1 490132 864932 195292 1199684   0    0 19080     0 2894 5697  3  3 84 10  0  0
 3  0 477916 821196 196892 1234216 14500  0 42656     0 10909 132639 16 21 35 28 0 0
 3  0 472536 799164 197196 1253592 7884   0 22812     0 11767 206722 30 28 29 14 0 0
 4  0 472196 795104 197280 1254108 392    0   564     0 25635 211345 38 30 32 0 0 0
 2  0 472196 787420 197344 1254404   0    0   136     0 16476 265723 37 27 35 1 0 0
 3  0 471676 770820 197504 1254884 376    0   640    48 29217 229238 39 36 25 1 0 0
 7  0 471656 748264 197644 1255024  28    0   136     0 30439 208061 43 34 23 0 0 0
 2  0 471656 714964 197756 1255180   0    0     0     0 29757 218848 38 35 26 0 0 0
17  0 471656 697720 197940 1255668   4    0   268     0 36287 221101 41 37 22 0 0 0
11  0 471428 686652 198056 1255800 556    0   560     0 57228 178860 51 39 9 1 0  0
 8  0 470924 674564 198064 1256440 508    0   540   336 41681 199005 42 40 18 0 0 0
 2  0 470916 676444 198720 1257232   8    0     8     0 24002 245069 36 32 32 0 0 0
10  0 470852 672784 198720 1257296  64    0    64    16 32425 235278 35 38 26 1 0 0
 5  0 470748 669428 199012 1258008 104    0   320    56 29108 234809 38 33 28 0 0 0
 5  0 470740 655168 199060 1258252   8    0   260     0 32346 239082 40 34 26 0 0 0
 5  0 470732 650208 199244 1258540   8    0   180    32 45453 208998 48 35 17 0 0 0
 5  0 470724 693124 197568 1258032   8    0     8     0 24611 241865 42 30 28 0 0 0
 3  0 470684 691444 197660 1258376  40    0   128     0 28497 219627 42 33 25 1 0 0
 2  0 470664 685704 197960 1258572  20    0   148     0 28992 220912 42 33 24 0 0 0
 3  0 470324 677736 198088 1259004 292    0   420     0 32601 209833 43 34 23 1 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 470324 674200 198112 1259124   0    0     0     0 23975 240416 36 31 32 0 0 0
 3  0 470324 652308 198196 1259356   0    0    56    28 50970 191259 48 39 13 0 0 0
 4  0 470320 581948 199376 1316072   8    0 35832     0 36789 196045 42 39 15 3 0 0
 3  0 470320 545888 199788 1334796   0    0   940     0 39914 188459 45 38 17 0 0 0
 3  0 470320 556516 199788 1322096   0    0     4     0 23365 237650 37 33 29 1 0 0
 7  0 470320 522804 199916 1350932   0    0    32     0 32472 159420 43 38 18 1 0 0
 3  0 470320 518328 199924 1351004   0    0     0   120 33623 208412 41 37 22 1 0 0
 3  0 470320 532012 200024 1332768   0    0    28     0 30589 203676 40 36 22 1 0 0
 9  0 470320 511920 200236 1332820   0    0   148     4 24688 233180 35 34 31 0 0 0
 3  0 470320 482864 200564 1343088   0    0  4084     0 35778 153784 42 42 14 3 0 0
 7  0 470320 472492 200664 1330468   0    0     0  3700 37392 197575 45 35 20 1 0 0
 1  0 470312 477376 200836 1325800   8    0   352   172 42037 162765 46 40 13 1 0 0
 4  0 470312 481324 201032 1319688   0    0   228     0 24938 223017 39 32 28 1 0 0
 2  0 470312 478244 201096 1319784   0    0     0  1508 24116 220353 40 32 27 0 0 0
 4  1 470312 478052 201152 1319848   0    0    36     0 26424 221027 35 35 30 0 0 0
 3  0 470312 478052 201180 1319972   0    0     0     0 19271 246947 34 34 32 0 0 0
 6  0 470312 493844 201216 1320148   0    0     0   316 23678 238527 33 36 31 1 0 0
 6  0 470312 482888 201308 1326180   0    0     0     0 27526 221559 35 37 27 1 0 0
 5  0 470312 482212 201336 1326368   0    0     0     0 24604 235452 34 34 32 0 0 0
