procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0 474152 232812 170612 1378560 12546 13412 16348 16693 21911 223 30 25 41 4 0 0
 3  0 473908 211820 170612 1378928 236    0   292     0 4655 28907 7  6 83  3  0  0
 4  0 473908 208012 170904 1379208   0    0   364     0 43147 195270 50 32 17 1 0 0
 9  0 473908 208568 171052 1379728   0    0   108     0 29575 193956 44 32 23 1 0 0
 3  0 473908 206832 171068 1379864   0    0     0     0 25017 248628 38 34 28 0 0 0
 9  1 473908 202860 173952 1380352   0    0  2936     0 50279 180424 45 37 17 1 0 0
 8  0 473908 207944 174260 1380448   0    0    64    52 48344 189481 48 37 15 0 0 0
 4  0 473908 201068 174392 1380848   0    0    76     0 39279 211128 43 37 19 0 0 0
 2  0 473908 197524 174552 1380912   0    0     0     0 38916 199304 45 36 20 0 0 0
 4  0 473908 194532 174828 1381124   0    0   244    52 43873 195679 46 36 18 0 0 0
 8  0 473908 193800 174892 1381268   0    0     0     0 43740 217301 43 37 20 0 0 0
 5  0 473908 186880 175032 1381644   0    0   284    28 43678 193482 45 38 16 0 0 0
 5  0 473908 211392 175112 1381916   0    0    16     0 46008 182260 50 35 15 0 0 0
 4  0 473904 209592 175160 1381996   4    0     4     0 25275 235579 35 35 30 0 0 0
 3  0 473904 206060 175240 1382116   0    0     0     0 34406 204192 41 36 23 0 0 0
 3  0 473904 206124 175252 1382096   0    0     0     0 22374 234372 34 34 31 0 0 0
 6  1 473892 198744 175260 1384252  32    0  2504    24 31040 188500 44 37 19 1 0 0
 7  0 473808 189360 175496 1387880 104    0  3256     0 24821 229957 37 34 28 1 0 0
10  0 473808 187212 175496 1387892   0    0     0     0 20138 245719 33 33 34 0 0 0
 7  0 473808 174252 175920 1388596   0    0   200     0 25725 231105 35 35 29 1 0 0
 5  0 473808 171660 175948 1388688   0    0     0     0 28552 213133 41 33 26 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0 473808 155596 175960 1388612   0    0     0     0 19100 245989 33 33 34 0 0 0
 4  0 473808 150648 176424 1389284   0    0   192    20 24823 218842 36 35 28 1 0 0
 4  0 473808 149460 176472 1389316   0    0     0     0 41341 185168 48 35 17 0 0 0
15  0 473808 143712 176732 1389588   0    0     0     0 25990 227166 36 36 28 0 0 0
 6  1 473808 143712 176740 1389596   0    0     0     0 21543 220726 36 32 31 0 0 0
 5  0 473808 142024 176952 1389860   0    0     0     0 16744 261851 28 32 39 0 0 0
11  0 473808 181788 176960 1385712   0    0     0    28 21975 234977 36 33 30 1 0 0
 4  0 473808 165536 177276 1386096   0    0   236     0 18409 246784 32 32 35 1 0 0
 1  0 473808 163444 177304 1386244   0    0     0     0 25777 225535 36 35 28 0 0 0
 6  0 473808 158144 177304 1386244   0    0     0     0 20732 231265 36 32 32 0 0 0
 1  0 473808 148436 177868 1386780   0    0   184  4592 24010 219262 36 34 29 1 0 0
 2  0 473808 148288 177932 1386912   0    0   100     0 29278 215225 36 36 27 0 0 0
 6  0 473808 145128 178176 1387148   0    0     0  1964 28461 212477 41 35 23 1 0 0
 4  0 473808 138452 178436 1387336   0    0     0     0 30893 209934 42 35 23 0 0 0
 3  0 473808 137168 178564 1387628   0    0    32   444 46983 180310 53 35 12 0 0 0
11  0 473808 136716 178880 1388392   0    0   248     0 39415 192658 45 37 17 0 0 0
 6  0 473808 187324 178912 1384092   0    0     0     0 33195 204977 43 34 23 0 0 0
 6  0 473808 159048 179436 1384860   0    0   328     0 42495 185827 43 40 17 0 0 0
 3  0 473808 154380 179716 1385232   0    0    48     0 31164 206791 41 34 25 0 0 0
 2  0 473808 151132 179924 1385492   0    0     0    28 24376 226016 37 33 29 1 0 0
 2  0 473808 146596 180204 1385704   0    0    96     0 32755 204483 40 37 23 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 473808 149552 180236 1385964   0    0     0     8 30182 215187 41 34 25 0 0 0
 8  0 473808 146316 180320 1386048   0    0     4     0 30138 214055 39 36 25 0 0 0
11  0 473808 145620 180416 1386056   0    0     0     0 33051 202826 39 36 24 0 0 0
 3  0 473808 140348 180708 1386596   0    0   116    28 35675 191732 44 36 19 0 0 0
 4  0 473808 139480 180784 1386764   0    0    76     0 43826 185304 49 35 16 0 0 0
10  0 473808 139544 180796 1386712   0    0     0     0 21854 217596 37 33 30 0 0 0
 5  0 473808 139544 180996 1386808   0    0     0     0 18352 255199 31 33 36 0 0 0
 9  0 473808 139608 180996 1386848   0    0     0     0 19340 259786 30 34 36 0 0 0
 4  0 473808 139608 181004 1386844   0    0     0    20 21388 240995 35 33 32 0 0 0
 7  0 473808 139228 181320 1387016   0    0   384     0 27542 216572 38 35 27 1 0 0
 6  0 473808 138924 181400 1387152   0    0     0     0 30243 209355 36 37 26 1 0 0
 9  0 473808 137208 181664 1387396   0    0     0     0 30351 215840 40 36 24 0 0 0
 9  0 473808 133996 181776 1387628   0    0   112     0 34811 206364 41 37 22 0 0 0
 6  0 473808 133608 181884 1387800   0    0    20    32 40211 188162 43 37 19 0 0 0
 3  0 473808 146312 182156 1388156   0    0     0     0 29474 224742 37 36 27 0 0 0
 5  0 473808 146428 182204 1388204   0    0   100     0 27061 217347 37 35 28 1 0 0
10  0 473808 146252 182304 1388628   0    0   216     0 38772 204272 41 38 21 0 0 0
 5  0 473808 146220 182364 1388628   0    0     0     0 27256 226440 36 35 30 0 0 0
 6  0 473808 144188 182372 1388556   0    0     0    28 30488 197411 45 32 23 0 0 0
 3  0 473808 141052 182628 1388772   0    0    96     0 34324 202140 42 36 22 0 0 0
 2  1 473816 179460 181940 1364524   0    8   668  4548 33311 167863 42 38 17 3 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0 473816 172476 182152 1358340   0    0     0   348 26127 220866 37 34 28 1 0 0
11  0 473816 175124 181860 1376712   0    0   120  1848 33195 176411 45 39 16 1 0 0
 4  0 474520 220136 181448 1320676   0  704     0   704 40386 181433 43 38 19 1 0 0
 2  0 474520 234716 181684 1290332   0    0     0    32 31098 201960 39 37 24 0 0 0
 6  0 474520 214048 181960 1302020   0    0    56     4 37032 166764 44 40 16 1 0 0
 7  0 474520 187296 182188 1312176   0    0   456     0 52060 151888 49 42 8 1 0  0
 2  0 474520 195892 182220 1300208   0    0     0     0 30299 191235 41 35 23 1 0 0
 3  1 474516 202708 182880 1287788   4    0   164   116 49307 148091 52 39 7 1 0  0
 3  0 474516 211600 182960 1279632   0    0     0     0 38530 185489 45 35 19 1 0 0
 2  0 474516 211504 183228 1279964   0    0   164     0 42134 185089 43 39 17 1 0 0
 7  0 474516 211208 183344 1280128   0    0     0     0 46528 196642 44 38 17 0 0 0
 8  0 474516 210552 183688 1280612   0    0   276     0 50780 196056 48 36 16 0 0 0
 6  0 474516 212340 184172 1281188   0    0   152    88 37611 209211 45 35 20 0 0 0
 5  0 474516 209008 184308 1281352  72    0    72    80 60551 160076 55 39 5 0 0  0
14  0 474516 206756 184436 1281536   0    0     0     0 50824 187767 50 38 12 0 0 0
 6  0 474516 198644 184724 1281784   0    0     0     0 43240 177310 50 34 16 0 0 0
