procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0 474516 196868 184988 1282276   0    0     0     0 54937 171223 52 38 10 1 0 0
10  1 474516 196852 185096 1282668   0    0   196    28 32169 198300 39 36 24 2 0 0
 5  0 474516 189948 185380 1287096   0    0     0     0 34495 193295 42 37 21 1 0 0
 7  0 474516 191748 185460 1280788   0    0     0     0 32304 203232 40 37 23 0 0 0
 7  0 474516 191496 185460 1280852   0    0     0     0 18918 246724 33 32 35 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0 474516 189240 185696 1281156   0    0    72     0 27936 209377 39 37 25 0 0 0
 1  0 474516 188836 185880 1281344   0    0   128    28 26518 222912 34 37 28 0 0 0
 5  0 474516 188332 185880 1281344   0    0     0     0 16936 250560 35 31 34 0 0 0
 4  0 474516 186024 186092 1281520   0    0    28     0 19215 245148 31 33 36 0 0 0
 3  0 474516 182308 186124 1281488   0    0     0     0 30449 211318 38 37 25 0 0 0
 2  0 474516 179220 186196 1281516   0    0     4     0 27468 211637 38 36 26 0 0 0
 9  0 474516 175376 186436 1281848   0    0     0    28 30032 216809 39 34 26 1 0 0
 6  0 474516 173068 186496 1281816   0    0   128     0 27746 214836 36 37 27 0 0 0
 6  0 474516 170804 186792 1282228   0    0     8     0 39181 195463 42 38 20 0 0 0
 8  0 474516 165980 187004 1282440   0    0     0     0 27145 215738 39 34 27 0 0 0
 1  0 474544 177780 187252 1274228   0   28     0  6392 43520 186186 44 38 17 2 0 0
 3  0 474544 159880 187608 1274540   0    0     0  2304 42852 187347 48 36 16 0 0 0
 3  0 474544 138768 187676 1274660   0    0     0     0 34901 211224 41 36 23 0 0 0
14  0 474544 118036 187952 1274972   0    0    56     0 39057 197518 42 37 21 0 0 0
 4  0 475492 271136 167116 1184808   4  216   680   216 30190 194716 36 41 22 1 0 0
 9  0 475492 222884 167676 1185420   0    0   148     0 24582 221906 38 37 25 1 0 0
10  0 475492 211120 168008 1185776   0    0     0    24 39038 202915 43 37 20 0 0 0
 9  0 475492 217788 168128 1181748   0    0    20     0 54196 188338 51 37 12 1 0 0
 1  0 475492 212864 168168 1181980   0    0    88     0 47824 187944 53 34 13 0 0 0
 7  0 475492 204836 168196 1182008   0    0     0   712 30845 212761 42 34 24 0 0 0
 3  0 475492 188256 169892 1185628   0    0  4360     0 38047 201628 41 38 21 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0 475492 184004 170312 1185900   0    0   128    44 30062 214922 38 37 25 1 0 0
 4  0 475492 184720 170452 1186056   0    0     0     0 48583 180354 49 37 14 0 0 0
 2  0 475492 184028 170556 1186168   0    0     0     0 36519 197208 41 38 21 0 0 0
 7  0 475492 170392 170976 1186616   0    0     0     0 31225 216775 39 36 26 0 0 0
11  0 475492 167220 171316 1186784   0    0     0     0 40166 192973 42 37 20 0 0 0
 4  0 475492 167136 171448 1187132   0    0   136     0 42635 190671 43 39 18 0 0 0
 6  0 475492 219280 171708 1183284   0    0     0    52 27850 218501 43 32 25 1 0 0
 6  0 475492 197688 172064 1183700   0    0   156     0 48068 187238 46 39 14 0 0 0
 6  1 475492 188572 172308 1183932   0    0   172     0 44739 183938 47 37 15 0 0 0
 5  0 475492 182456 172544 1184168   0    0     0     0 26548 238537 37 35 28 0 0 0
14  0 475492 180440 172656 1184312   0    0    88     0 42105 186993 45 37 17 0 0 0
 2  0 475492 180188 172744 1184508   0    0    48    28 32715 201757 41 35 24 1 0 0
 3  0 475492 168468 173172 1185092   0    0    32     0 24659 219296 39 34 27 0 0 0
12  0 475492 166428 173524 1185056   0    0     0     0 41041 183758 44 38 18 0 0 0
12  0 475460 161324 173648 1185652  64    0   204     0 43087 194757 44 38 17 0 0 0
 4  0 475460 146304 173700 1185544   0    0     0     0 35791 218185 41 35 23 0 0 0
 8  0 475460 171496 171336 1141088   0    4   188   160 42094 194156 42 42 16 0 0 0
12  0 475460 140032 172392 1143624   0    0  3348     0 39321 194295 45 36 18 1 0 0
 1  0 475552 162764 165600 1090412   0  120  2752   120 51392 157858 46 44 8 2 0  0
 4  0 475552 142388 165712 1083844   0    0     0     0 37022 206644 39 38 23 1 0 0
 5  0 475552 197028 128208 1073720   0    0     8  9916 40386 149931 46 40 13 2 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0 475552 209168 128252 1055832   0    0    96    36 30888 206380 38 36 25 1 0 0
 5  0 475552 168716 128908 1056560   0    0   384     0 42361 169151 47 40 13 0 0 0
16  0 475436 154304 115872 1070328 128    0   736     4 62708 163671 51 44 5 0 0  0
 9  0 475428 150228 116056 1062348   8    0  1372     0 73867 147803 64 36 0 0 0  0
 4  0 475396 135904 116272 1064312  60    0   196     0 53951 139873 60 35 5 1 0  0
 5  0 475396 130184 116376 1068012   0    0     0   140 41278 163405 48 38 13 1 0 0
 5  1 475396 140208 116592 1058844   0    0    72     0 35070 185546 44 37 16 2 0 0
 5  0 475396 144724 116796 1053804   0    0   940     0 30516 190503 39 39 20 2 0 0
 9  0 475228 135948 116880 1054460 496    0   856     0 38569 187790 43 37 18 2 0 0
 3  1 475228 128620 117092 1060944   0    0     0     0 21904 231399 35 35 29 1 0 0
 9  0 475228 125460 117352 1061124   4    0     4    80 40307 174182 45 39 15 1 0 0
 3  0 475228 129508 117432 1054992   0    0     0     0 34069 190179 43 36 21 0 0 0
 5  0 475228 129468 117684 1055188   0    0   124     0 21829 231922 34 35 31 0 0 0
 4  0 475228 129608 117712 1055456   0    0     0     0 24427 231728 37 35 28 0 0 0
10  0 475228 130428 117808 1055456   0    0     4     0 28584 199720 41 35 24 0 0 0
 4  0 475228 136308 118172 1055764   0    0   204    28 36182 211275 39 38 23 0 0 0
 6  0 475228 135976 118448 1053888   0    0   148     0 42240 187833 44 38 17 0 0 0
 5  0 475228 132204 118548 1054348   0    0    16     0 37110 191713 42 36 22 0 0 0
 1  0 475228 136588 118660 1054352   0    0    20     0 32549 214149 40 37 23 0 0 0
 5  0 475228 138884 118724 1052336   0    0    16     0 32998 201885 40 35 25 0 0 0
 3  0 475228 138820 118768 1052496   0    0     0     0 25021 222383 39 33 28 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 475228 132836 119004 1052748   0    0    16    28 22739 221252 38 35 27 0 0 0
 5  0 475228 130356 119048 1052864   0    0     0     0 27051 228588 36 36 27 0 0 0
 5  0 475228 124936 119048 1053012   0    0     0     0 21375 250377 31 34 34 0 0 0
 6  0 475228 113364 117324 1053112   0    0    32     0 23741 234706 35 35 30 0 0 0
 4  0 496032 181444 111576 1015896   0 20320    0 26712 37260 225172 33 42 24 1 0 0
 6  0 536784 200636 109468 1003224   4 40060  708 40100 52839 213185 31 49 20 0 0 0
 6  0 536780 189992 109468 1003508   0    0   292     0 19006 277221 28 34 37 1 0 0
 7  0 536764 177872 109592 1010724  40    0  7244     0 23483 236343 34 35 30 1 0 0
 6  0 536764 147204 109828 1011028   0    0    76     0 30832 230091 37 36 26 0 0 0
 7  0 537556 137040 106724 992996    0  788    32   788 35273 190418 43 37 20 0 0 0
 5  0 539544 147244 106584 982304    0 1988    64  1988 26775 214699 36 36 28 0 0 0
 5  0 539544 117068 106776 983048    0    0   132     0 29754 210526 39 36 24 1 0 0
 1  0 540188 123728 106804 972232    0  644     0   644 28956 214697 39 35 26 0 0 0
11  0 544632 116276 104584 960488    0 4444   764  4472 61626 152726 60 37 4 0 0  0
 0  1 544632 113608 104844 961184    0    0   172     0 33517 216623 40 36 24 0 0 0
 2  0 544632 113516 104924 961348    0    0     4     0 26918 221236 35 34 30 1 0 0
14  0 544632 113656 104964 962704   20    0  1560     0 22955 228471 37 33 29 1 0 0
 3  0 544552 113344 105244 963264  144    0   308     0 31667 201785 40 36 23 1 0 0
 3  0 544552 106344 105532 964144    0    0   228   776 29643 218441 39 34 26 1 0 0
 2  0 546804 117708 103096 960332    0 2252    52  2252 28429 213921 39 36 24 1 0 0
 3  0 546804 111192 103192 960644    0    0     4     0 28156 211961 37 36 27 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
16  0 546800 109172 103304 960948    4    0   132     0 37079 203370 42 37 21 0 0 0
 7  0 546800 108712 103324 961012    0    0     8     0 22563 239024 34 34 32 1 0 0
 8  0 549348 132228 100128 954660    0 2552   360  2552 29872 197849 37 36 26 1 0 0
 6  0 549348 129988 100192 954800    0    0    72    28 16574 260458 32 33 34 1 0 0
 2  0 549348 117548 100444 955128    0    0    20     0 27817 204595 40 33 27 1 0 0
 2  0 549340 116552 100592 955208    8    0    40     0 27930 202722 33 36 29 2 0 0
 9  0 551828 153488  97284 950696  244 2540   304  2540 42996 190353 41 38 20 1 0 0
 7  0 551828 147132  97380 951144    0    0    80     0 25101 228146 33 36 30 1 0 0
 6  0 551828 140992  97504 951204    0    0    48     0 32930 188600 42 35 22 1 0 0
12  0 551824 120536  97860 951612    4    0   320    24 21134 222843 36 32 30 2 0 0
 9  0 551824 118556  97896 951844    0    0    48     0 27783 219759 38 34 28 0 0 0
 2  0 553264 120408  95776 949468   20 1496   228  1496 47587 191475 43 40 18 0 0 0
