procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  1 469888 306196 202852 1324748 15529 16303 19823 16600 22974 207 31 27 39 4 0 0
 0  0 469888 305284 202852 1324676   0    0    56     0 2416 4056  3  3 92  3  0  0
 9  0 469568 281100 203064 1325340 300    0   872    56 17990 140275 29 23 47 1 0 0
 7  0 469568 274376 203332 1325628   0    0    92     0 40302 168841 45 39 15 1 0 0
 6  0 469568 264468 203572 1325948   0    0     0     0 35882 212135 44 35 20 0 0 0
 5  1 469568 262988 203684 1326144   0    0     0     0 45966 200343 44 38 17 0 0 0
 7  0 469568 261688 204284 1326400   0    0   352     0 50642 188707 48 39 14 0 0 0
 5  0 469568 258980 204572 1326852   0    0   120    28 49103 172472 46 41 12 1 0 0
 4  0 469568 258064 204684 1327116   0    0     0     0 27549 234054 34 37 29 0 0 0
 8  0 469568 257760 204740 1327268   0    0     0     0 25275 240708 32 36 31 0 0 0
 2  0 469568 257612 204936 1327524   0    0   128     0 43463 192878 43 40 18 0 0 0
 2  0 469568 257444 204992 1327768   0    0     0     0 34093 202889 43 35 21 0 0 0
 3  0 469568 257032 205064 1327812   0    0     0     0 20683 249806 31 34 35 0 0 0
 3  0 469568 255392 205072 1327708   0    0     0    28 22669 242982 32 35 32 1 0 0
 3  0 469568 255296 205072 1327780   0    0     0     0 24008 241336 32 35 33 0 0 0
 4  0 469568 255296 205072 1327780   0    0     0     0 20687 244799 31 33 35 0 0 0
 2  0 469568 255360 205072 1327716   0    0    32     0 18808 254879 29 34 37 0 0 0
 8  0 469568 253880 205128 1327852   0    0   152     0 31399 218229 37 38 24 1 0 0
 6  0 469568 284156 203044 1308312   0    0    52     0 35686 194426 39 39 21 0 0 0
 1  0 469556 279236 203176 1308432  48    0    48     0 31457 181088 43 39 18 0 0 0
 5  0 469556 277444 203292 1308608   4    0     4     0 33683 199212 42 37 21 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0 469556 275300 203472 1308980   0    0   176     0 31108 193162 40 36 24 0 0 0
