procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 469556 274812 203628 1309048   0    0     0    28 44844 190212 49 37 14 0 0 0
 5  0 469556 270340 203772 1309560   0    0   136     0 35860 199696 43 38 20 0 0 0
15  0 469556 268000 203984 1310016   0    0   300     0 42155 184851 45 38 17 1 0 0
 5  0 469556 268788 204216 1310220   0    0   248     0 32793 214510 40 37 23 0 0 0
 5  0 469556 268188 204436 1310716   0    0   240     0 43078 175328 46 37 17 0 0 0
12  0 469556 265504 204584 1310992   0    0   148    28 41772 201029 41 39 20 0 0 0
 9  0 469556 262264 204684 1311296   0    0    36     0 34891 219975 43 35 22 0 0 0
 4  0 469552 260956 204912 1311568   4    0   128     0 43849 184086 45 38 17 0 0 0
 5  0 469552 260320 205100 1311776   0    0    44     0 46123 181032 46 38 16 0 0 0
 6  0 469552 263476 205252 1311948   0    0    44  4728 49109 185053 50 37 12 1 0 0
 7  0 469552 256656 205376 1312172   0    0     0  2088 37880 203877 41 38 21 0 0 0
 2  0 469552 254124 205528 1312460   0    0   140    40 33656 196496 39 37 23 0 0 0
 7  0 469552 255020 205604 1312668   0    0   124     0 26730 219820 38 36 26 0 0 0
 4  0 469552 256980 205760 1312904   4    0     4     0 38534 193850 42 38 20 0 0 0
 6  0 469552 256712 206064 1313472   0    0   252     0 36380 198076 39 40 21 0 0 0
 4  0 469552 254796 206284 1313564   0    0   128    24 24915 235053 35 35 30 0 0 0
 8  0 469552 254620 206364 1313648   0    0    12     0 30626 206619 39 37 24 0 0 0
 2  0 469552 254412 206464 1313684   0    0     4     0 27505 217377 38 35 26 0 0 0
 2  0 469552 252528 206536 1314156   0    0   280     0 25357 238134 37 34 28 0 0 0
 6  0 469552 252132 206620 1314136   0    0    60     0 34412 201191 42 38 20 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 469552 253928 206868 1314492   0    0    24    24 42606 192725 42 40 18 0 0 0
 4  0 469552 254676 206940 1314736   0    0     8     0 52318 183066 53 34 13 0 0 0
 8  0 469552 252404 207192 1314860   0    0    16     0 45205 175511 45 40 14 0 0 0
 4  0 469552 250968 207408 1315416   0    0   128     0 41636 193134 42 38 19 0 0 0
 3  0 469552 254392 207652 1315912   0    0   132     0 35557 207724 43 35 22 0 0 0
 3  0 469552 254840 207880 1316156   0    0     0    28 50113 188304 47 38 14 0 0 0
 6  0 469552 250288 208132 1316832   0    0   172     0 53726 183134 47 40 13 0 0 0
 8  0 469552 249908 208280 1317036   0    0    36     0 40632 207302 41 37 21 0 0 0
 1  0 469552 248308 208736 1317508   0    0   256     0 43569 179047 47 38 15 0 0 0
 6  0 469552 247076 208908 1317692   0    0    32     0 46794 182967 45 40 15 0 0 0
 8  0 469536 243292 209076 1318076  24    0    24    24 41663 208551 41 37 21 1 0 0
 2  0 469536 241616 209176 1318116   0    0     0     0 47873 187990 47 39 14 0 0 0
 1  0 469536 236700 209440 1318488   0    0     0     0 42183 192577 43 36 20 0 0 0
 7  0 469536 232968 209552 1318776   0    0   128     0 35717 206934 42 37 21 0 0 0
 6  0 469536 232344 209756 1318856   0    0     0     0 34217 201894 40 38 22 0 0 0
10  0 469536 231520 209848 1319196   0    0    96     0 41366 181871 48 36 15 0 0 0
 6  0 469536 232024 209964 1319416   0    0    84    28 39103 195495 45 37 18 0 0 0
 3  0 469536 229364 210148 1319688   0    0    56     0 39271 196767 40 40 20 0 0 0
 9  0 469536 221692 210296 1319716   0    0     0     0 40839 185906 44 38 19 0 0 0
 6  0 469536 220840 210368 1320012   0    0     0     0 27095 234367 35 36 29 0 0 0
13  2 469536 220628 210632 1320180   0    0   256  5036 28431 209048 38 35 27 1 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0 469536 179844 210684 1346828   0    0     0  2948 38191 166323 42 42 15 1 0 0
 6  0 469536 184084 210716 1340940   0    0    52     0 24444 228580 36 35 29 0 0 0
 7  0 469536 195236 210216 1344252   0    0     0     0 37099 141670 49 39 11 1 0 0
 6  0 469536 191524 210348 1344840   0    0    76     0 29887 202891 37 38 24 1 0 0
 4  0 469536 206264 210372 1326596   0    0     0     0 27681 218309 39 36 25 0 0 0
10  1 469536 191472 210468 1335104   0    0   156    68 40779 166104 42 45 12 1 0 0
 1  0 469536 194684 210580 1328332   0    0     0     0 38037 189849 40 40 19 1 0 0
 7  0 469536 206904 210748 1324680   0    0   152    88 35041 198248 40 37 22 0 0 0
 6  0 469536 193976 210808 1316196   0    0     0     0 40565 157667 49 38 12 1 0 0
 9  0 469536 191912 210960 1316220   0    0    68     0 36967 199694 39 39 23 0 0 0
 4  0 469536 208672 211044 1297424   0    0     0     0 31641 206944 39 38 23 1 0 0
 3  0 469536 197920 211168 1297488   0    0   116     0 42619 177421 43 40 16 1 0 0
 9  0 469536 184292 211400 1303944   0    0   104     0 38406 185748 43 38 18 1 0 0
12  0 469536 162388 211608 1304020   0    0     0    84 33184 217278 39 38 23 0 0 0
15  0 469536 135588 211716 1298108   0    0    48     0 57377 157035 57 37 6 0 0  0
 9  0 469536 118140 211972 1298564   0    0    32     0 52406 176195 49 38 13 0 0 0
 5  0 469524 118584 212044 1298608  20    0    20     0 46661 176307 48 39 12 1 0 0
 2  0 469520 155180 212240 1292344   0    0     0     0 49785 183572 46 41 13 0 0 0
 6  0 469520 149244 212600 1292528   0    0   136    24 43014 197964 45 37 17 0 0 0
 7  0 469520 141088 212844 1292840   0    0    36     0 44861 184000 45 38 17 0 0 0
 1  0 469520 139324 213148 1293148   0    0   216     0 43593 183360 46 38 17 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 469520 134996 213284 1293512   0    0     0     0 34128 200989 38 38 23 0 0 0
 2  0 469520 118160 213336 1293724   0    0     0   168 22322 225416 34 33 31 1 0 0
 5  0 469520 118084 213336 1293724   0    0     0     0 22086 245547 33 34 32 0 0 0
 6  0 469520 118084 213336 1293724   0    0     0     0 20120 261641 30 34 36 0 0 0
12  0 469520 120132 213340 1291680   0    0     0     0 24711 243587 31 36 33 0 0 0
 2  0 469520 120132 213340 1291680   0    0     0     0 16525 267964 28 33 38 1 0 0
 3  0 469520 140632 213340 1290608   0    0     0     0 18364 247966 35 32 33 0 0 0
 4  0 469520 122964 213348 1290416   0    0     0    32 21253 247923 32 34 34 1 0 0
 3  0 469520 114944 209600 1275520   0    0     0     0 23968 255281 32 35 33 0 0 0
10  0 469520 106408 209696 1261472   0    0     0  3428 32663 202176 40 38 20 2 0 0
 3  0 469520 113516 209840 1251792   0    0    24  1816 31149 209217 37 38 25 0 0 0
 3  0 473788 138692 204604 1219964   8 4328     8  4328 39918 211336 40 39 21 0 0 0
 4  0 481488 209824 175272 1158100 748 8036   960  8036 49638 180234 39 44 17 1 0 0
14  0 481420 178432 175480 1158432  68    0   152    32 52162 183367 50 39 11 0 0 0
 5  0 481416 175660 175612 1158492   4    0     4     0 52466 188339 53 35 11 0 0 0
 8  0 481400 172116 175808 1158672  16    0    64   104 40969 194932 43 39 18 0 0 0
10  0 481384 168156 176004 1158836  16    0    52     0 38305 196249 43 37 20 0 0 0
 4  0 481380 165064 176080 1159284   4    0   132     0 34809 205570 43 36 21 0 0 0
 8  0 481336 163972 176436 1157296  44    0   172    28 43756 194146 43 38 19 0 0 0
 6  0 481304 161912 176980 1157796  32    0   520   120 44249 201495 42 38 19 0 0 0
 7  0 481304 158352 177048 1158044   0    0     4   720 34161 214003 39 38 23 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0 481304 157676 177316 1158076   0    0     0     0 46607 185590 44 40 16 0 0 0
 4  0 481304 154656 177524 1158372   0    0   124     0 42991 195495 44 38 17 0 0 0
13  0 481304 151056 177648 1158612   0    0     0     0 38090 215404 38 40 22 0 0 0
 3  0 481300 150596 177812 1158780   4    0     4    36 30757 206057 37 37 25 0 0 0
 2  0 481300 150596 177864 1158924   0    0     0     0 22194 246413 34 34 31 0 0 0
 2  0 481300 150724 177864 1158796   0    0     0     0 18586 263999 32 34 34 0 0 0
 9  0 481300 150596 177864 1158924   0    0     0     0 23321 245634 33 35 32 0 0 0
 8  0 481300 150596 177864 1158924   0    0     0     0 17671 274010 28 34 38 0 0 0
 3  0 481300 150596 177872 1158916   0    0     0    16 20381 260854 29 35 35 1 0 0
12  0 481292 149040 177920 1158876   8    0     8     0 24491 232039 35 35 31 0 0 0
 5  0 481292 147632 178016 1158964   0    0     0     0 29508 207675 40 35 25 0 0 0
 1  0 481292 142972 178216 1159128   0    0   128     0 27296 220965 37 36 27 0 0 0
 5  0 482000 341956 177700 1129784   0  708    12   708 43346 190541 40 43 17 0 0 0
 5  0 488316 327088 177476 1123180   0 6312  1248  6336 37078 220040 38 38 23 1 0 0
 3  0 488316 302384 177628 1123348   0    0     0     0 48278 193346 45 40 14 0 0 0
 2  0 488316 283632 177992 1123588   0    0     0     0 46806 179400 48 38 13 0 0 0
 9  0 488316 231772 178236 1123936   0    0     0     0 58892 177507 49 41 10 0 0 0
 8  0 488316 216536 178628 1125504   8    0  1712     0 43176 207010 42 38 19 1 0 0
14  1 494168 211240 178388 1117772   0 4820   944  4848 57048 131583 53 44 2 1 0  0
11  3 494168 204968 178612 1118076   0    0    44  2792 65274 145507 61 36 2 1 0  0
10  0 519824 231872 175328 1126928   0 24612   28 29040 47771 151284 41 49 9 1 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0 554144 251064 173740 1125908   4 29492   88 29492 51856 179073 40 46 13 1 0 0
 6  0 554144 265892 173916 1107588   0    0     0     0 40155 190848 41 39 19 0 0 0
 3  0 554136 248860 173984 1116036   8    0   220     4 39041 168657 41 44 13 2 0 0
11  0 554132 244252 174224 1115052   4    0   232   136 45199 163437 50 39 11 1 0 0
 8  0 553040 248420 174548 1106264 1092   0  1572     0 40932 173220 44 39 16 1 0 0
 6  0 550024 241424 175120 1106532 3136   0  3820     0 51032 162084 49 43 8 1 0  0
 6  0 542972 242860 175144 1100368 7768   0  7768     0 37122 191175 47 36 16 1 0 0
 7  0 542972 240768 175240 1100260   0    0    24    72 26517 214949 38 36 27 0 0 0
 8  0 542972 239256 175276 1100304   0    0     0    72 23137 239352 35 36 29 0 0 0
 4  0 553276 273544 164732 1104444   0 9348     0  9348 32949 212513 33 42 24 1 0 0
 7  0 553276 268756 164916 1104460   0    0    72     0 37639 203753 41 37 22 0 0 0
 7  0 553276 269640 165108 1104728   0    0   148     0 33634 234833 36 38 26 1 0 0
 5  0 553276 272224 165292 1098696   0    0   188     0 46354 189799 44 40 17 0 0 0
 2  0 549476 267936 165644 1099084 4960   0  5160    32 51578 158197 51 41 8 1 0  0
 5  0 549476 264168 165744 1099468   0    0   116     0 34332 210873 39 38 23 0 0 0
 1  0 549476 263820 165944 1099648   0    0     0     0 36301 189504 43 37 20 0 0 0
10  0 549476 263232 166128 1099748   0    0     0     0 35105 204662 37 38 25 0 0 0
 2  0 549472 259096 166228 1099924   4    0     4     0 32465 216456 39 36 25 0 0 0
 6  0 549468 255892 166456 1100296   4    0     4    32 41390 178190 46 38 15 0 0 0
 3  0 549468 253296 166608 1100344   0    0     4     0 31544 203643 39 38 23 0 0 0
 2  0 549468 251708 166868 1100568   0    0   128     0 25566 229041 36 35 28 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 549468 246140 167104 1100792   0    0   192     0 35660 194409 40 38 21 0 0 0
 8  0 549468 240412 167300 1098712   0    0     0     0 30669 205395 38 37 25 0 0 0
 7  0 549460 205784 167328 1098740   8    0   100     0 26729 222002 35 37 28 1 0 0
 6  1 549460 195908 167448 1099000   0    0     0    28 32974 213077 37 38 25 0 0 0
 2  0 549344 189540 167732 1099288 116    0   244     0 34457 198575 38 36 25 1 0 0
 7  0 549344 175308 167796 1099304   0    0    16     0 25312 235965 34 37 29 0 0 0
 3  0 549340 155084 167944 1095208   4    0     4     0 35075 190786 42 37 21 0 0 0
15  0 549340 129032 168072 1095564   0    0     0     0 47537 176544 51 37 12 0 0 0
 6  0 549340 127504 168188 1095740   0    0     0    28 44418 191943 48 37 15 0 0 0
 7  0 549340 123136 168416 1096044   0    0   208  6192 42777 175359 45 38 15 2 0 0
 1  0 549340 119448 168544 1096200   0    0     0     0 36150 200127 38 39 22 0 0 0
 5  0 549340 119352 168612 1096524   0    0     0     0 21382 234902 34 35 31 0 0 0
 6  0 549340 119256 168656 1096440   0    0     0     0 23521 226730 36 37 28 0 0 0
 1  0 549336 116820 168852 1096568   4    0     8    28 38013 190936 42 37 20 0 0 0
 4  0 549336 116680 168900 1096716   0    0     0     0 22045 236533 33 35 31 0 0 0
 7  0 549336 103604 168968 1096680   0    0     0     0 23498 225013 36 33 31 0 0 0
 3  0 549336 132688 169012 1096792   0    0     0     0 27022 217121 36 36 28 0 0 0
 2  0 549336 131948 169012 1096856   0    0     0   720 18724 249092 35 33 32 0 0 0
 5  0 549336 131948 169012 1096856   0    0     0    56 19297 257648 32 33 35 0 0 0
 3  0 549336 128104 169020 1096916   0    0     0    40 19498 248023 33 34 33 1 0 0
 4  0 549336 119716 169020 1096856   0    0     0     0 22185 233646 36 34 30 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 549336 115228 169072 1096768   0    0     0     0 27820 224272 36 38 27 0 0 0
 7  0 549336 121304 164208 1091568   0    0    56     0 29739 204068 38 38 24 0 0 0
 4  0 549336 116028 164280 1091664   0    0     8     0 26276 210870 38 34 27 1 0 0
 9  0 549336 110836 164400 1091668   0    0     0     0 33263 203884 39 38 22 0 0 0
 3  0 549336 107456 164592 1091692   0    0     0    24 34702 197002 40 38 22 0 0 0
 6  0 549336 107032 164644 1092036   0    0    16     0 34243 220444 40 36 24 0 0 0
 3  0 549336 132500 160196 1085964   0    0    40     0 44499 185367 42 40 18 1 0 0
 6  0 549336 126224 160372 1086132   0    0    32     0 40618 202533 42 38 20 0 0 0
 4  0 549328 121940 160492 1086336   4    0   220     0 29455 222044 38 36 26 0 0 0
 9  0 549328 114868 160752 1086528   0    0    96    20 44322 178281 46 38 15 0 0 0
 3  0 549328 111480 158300 1085664   0    0     0     0 32478 204380 39 38 23 0 0 0
 7  0 549328 133972 140916 1085900   0    0     0     0 26994 234336 35 36 29 0 0 0
