procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 885060 152232 120820 755880   44    0    44     0 25802 223426 37 37 27 0 0 0
 1  0 885048 152296 120892 755940    8    0     8     0 24089 234984 31 37 31 1 0 0
 3  0 885016 151856 120952 755928   24    0    24     0 33664 205790 40 39 22 0 0 0
 4  0 885016 149768 121188 756156    0    0    56    28 35803 202630 39 38 22 0 0 0
 2  0 884916 144084 121304 756552   92    0   260     0 30832 212486 40 37 23 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0 884784 132296 121444 756624  132    0   160     0 36065 198362 43 37 20 0 0 0
 5  0 884768 152132 121640 756752    4    0     8     0 43145 184977 44 39 17 0 0 0
 4  0 884608 146392 121840 757196  156    0   260     0 35433 201243 42 38 20 1 0 0
 2  0 884604 140700 122032 757556    0    0    36    28 42227 191522 43 40 17 0 0 0
 9  1 884428 137692 122196 757740  172    0   176  4480 41482 197801 43 37 20 0 0 0
 7  1 884428 126888 122440 758084    0    0    64   144 38494 208654 40 39 21 0 0 0
 6  0 884420 116900 122648 758200    0    0   104  2272 55294 187514 46 40 14 0 0 0
 6  0 884304 123372 122824 758548  116    0   128     0 46565 198446 47 36 16 0 0 0
 9  0 884216 125020 123092 759152   84    0   348   540 46271 204984 47 37 16 0 0 0
 3  0 884208 123900 123344 759444    0    0    64     0 47546 185085 46 38 15 0 0 0
 2  0 904660 161128 123504 756444  464 20916  716 20916 61944 186573 40 44 15 1 0 0
14  0 899656 138952 123688 757188 4996    0  4996     0 60305 157490 59 36 5 0 0  0
 7  0 895692 118772 123768 757168 3964    0  3964     0 61524 143144 64 35 2 0 0  0
 7  0 911672 152676 123996 755996  704 16684  704 16712 52887 169412 44 44 12 0 0 0
 4  0 910840 146840 124084 756784  832    0   832     0 28060 224373 36 38 26 0 0 0
 3  0 909892 142952 124188 756876  984    0   992     0 47217 171543 49 39 11 1 0 0
 4  0 909212 135536 124372 756888  680    0   680     0 39258 190936 43 38 19 0 0 0
 2  0 908732 132992 124520 757120  476    0   592     0 31494 206668 40 36 23 0 0 0
 7  0 908224 133624 124628 757340  500    0   500    24 33830 213874 40 36 24 0 0 0
11  0 907716 117760 124784 757552  508    0   508     0 36997 192709 42 38 20 0 0 0
 4  0 907296 110036 124912 757556  416    0   416     4 28287 229283 36 36 28 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 924780 134380 125016 756992 2268 19740 2268 19740 50391 188230 37 44 19 0 0 0
 8  0 922824 122784 125208 757400 1956    0  1956    80 39400 183961 43 39 18 1 0 0
 8  0 920928 116916 125524 757772 1892    0  1892   108 33907 208297 38 39 23 0 0 0
 6  0 919992 118764 125728 757792  936    0   944     8 40113 181867 46 38 16 1 0 0
 9  0 922044 125408 125904 757456  880 2932   880  2932 52186 185476 45 39 15 0 0 0
 3  0 933276 129452 126180 757872 2844 14084 2844 14084 49692 197567 39 42 19 0 0 0
 3  0 932072 131008 126316 758132 1148    0  1152     0 29520 199056 39 36 24 1 0 0
 5  0 931136 121504 126464 758076  932    0   932    64 25967 218920 37 37 26 0 0 0
 4  0 947504 121896 126532 757424 3996 20368 3996 20368 42844 194597 37 42 21 0 0 0
 5  0 946792 111900 126560 758088  708    0   708     0 21573 236656 32 37 31 0 0 0
11  0 965152 118540 126652 757456 3336 21648 3336 21648 48534 174270 41 43 16 0 0 0
15  0 995048 142400 126676 754804 35888 65808 35888 65808 100828 143443 41 59 1 0 0 0
12  0 971428 123288 126720 754052 41572 17936 41572 17936 78509 154535 52 47 1 0 0 0
 2  0 998960 155996 125464 750284 43356 70904 43356 70944 112835 138727 35 63 2 0 0 0
 4  0 986404 138868 125540 750152 12556   0 12556  4864 34995 176727 45 38 16 0 0 0
 4  0 984416 131636 125600 750312 1984    0  1984     0 28128 229138 34 39 27 0 0 0
 6  0 981100 125020 125700 750404 3304    0  3304  2128 35824 202182 40 38 22 0 0 0
 4  0 981172 130044 124880 741484 2028 2104  2028  2104 26574 245160 33 38 29 0 0 0
 5  0 978072 120968 125064 741556 3096    0  3100    32 47264 189509 46 40 14 0 0 0
13  0 979288 139632 125088 734816 14712 15936 14768 15936 62599 164292 53 39 8 0 0 0
 9  0 964668 125532 125348 735452 14616   0 14616     0 66047 155209 64 35 1 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0 961260 114068 125536 735556 3328    0  3328     0 65323 160783 60 37 3 0 0  0
 4  0 969412 133752 124904 727472 5592 13704 5592 13704 64560 152787 51 43 6 0 0  0
 6  0 966748 125944 124996 727952 2660    0  2660     8 24572 223207 37 35 27 0 0 0
 7  0 965504 117988 125152 728176 1244    0  1348    32 35593 204158 39 38 22 1 0 0
 4  0 964300 116540 125308 728460 1196    0  1244     0 33872 196005 42 37 21 0 0 0
 5  0 962424 112624 125352 728504 1876    0  1876     0 21404 240772 35 35 30 0 0 0
 3  0 961420 128144 123212 716720 2304 1308  2368  1308 27696 219350 36 37 27 0 0 0
 7  0 959088 116600 123300 717444 2328    0  2328     0 25203 227810 35 37 28 0 0 0
 3  0 958104 112616 123368 711132 2668 1812  2668  1836 32774 207041 39 37 24 1 0 0
10  0 955996 108356 123436 711692 2104    0  2104     0 27372 230884 37 36 26 1 0 0
 2  0 952612 102420 123520 711840 3380    0  3380     0 26613 225732 34 39 28 0 0 0
 4  0 947708 108464 123564 705996 5740  840  5756   856 26118 230822 35 37 27 1 0 0
 7  0 948152 118880 123712 700636  784 1232   904  1232 36759 195390 39 40 21 0 0 0
 3  0 948396 111764 124024 696916 1408 1668  1508  5900 39444 194232 41 41 18 0 0 0
 2  0 951160 109640 123360 678464  320 3088  1020  3088 33962 199430 43 36 20 1 0 0
 7  0 960468 122692 123408 652072  396 9676   460  9676 57791 177392 44 44 12 0 0 0
13  0 973480 140892 116732 645264 2132 16236 2216 16236 63522 173235 50 42 8 0 0  0
14  0 967388 131964 116880 646148 6092    0  6092     0 68932 152170 67 32 1 0 0  0
14  0 966048 133748 116960 646264 1188   12  1188    44 63819 152021 61 36 3 0 0  0
 6  0 964408 129104 117200 646716 1636    0  1640     0 48627 170258 53 37 10 0 0 0
 9  0 963808 126128 117376 646768  596    0   596     0 38044 210056 46 36 19 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0 963004 122092 117628 646904  804    0   804     0 47589 185083 45 40 15 0 0 0
 8  0 963616 126656 112224 644076  856 1472   856  1472 55681 187886 45 41 13 0 0 0
 5  0 963004 121592 112384 644360  604    0   608     8 40430 212651 44 37 19 1 0 0
