procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0 828336 128748 111464 873320    0    0     0     0 23713 227779 36 36 28 0 0 0
 5  0 828332 128924 111808 873412    4    0   256     0 24936 222761 36 34 29 1 0 0
11  0 827536 127592 111836 873440  844    0   844     0 34652 186518 46 37 17 1 0 0
 7  0 827248 128524 112012 873484  360    0   360    12 41098 186369 42 39 18 1 0 0
 2  0 827244 131324 112208 873704    0    0     0    24 38560 196862 40 38 22 0 0 0
 3  0 827236 128676 112400 873764    0    0   128     0 26813 224705 40 33 26 0 0 0
 3  0 827224 125464 112556 874080    0    0     0     0 38235 202007 40 39 22 0 0 0
 1  0 827220 122720 112756 874336    0    0    72     0 41772 187886 44 38 18 0 0 0
 2  0 827212 121980 112828 874456    0    0     0     0 27697 217820 39 34 26 0 0 0
 5  0 827204 115376 113196 874620    0    0   200    28 39347 197086 41 40 19 0 0 0
 6  0 827076 112476 113608 874812  124    0   388     0 32755 204410 39 36 23 1 0 0
 4  0 826276 110712 113752 874972  792    0   792     0 45232 196216 44 39 17 0 0 0
 6  0 826268 107396 116384 875296    0    0  2432     0 42912 182948 43 38 18 1 0 0
 2  0 826260 105632 116544 875472    0    0     4     0 25568 226805 34 37 29 0 0 0
15  0 842940 158440 114968 863704 1916 18596 1916 18624 47915 181450 43 41 16 0 0 0
 5  0 839476 150824 115064 864272 3456    0  3456     0 48282 177981 51 35 14 0 0 0
 3  0 839224 151348 115200 864520  248    0   248     0 36439 208938 39 38 23 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0 839200 149964 115300 864564   16    0    16     0 31524 218686 39 37 24 0 0 0
 5  0 838616 148156 115604 864848  576    0   700     0 41487 183374 44 37 19 1 0 0
 3  0 838416 148180 115760 865060  196    0   208    28 36120 207974 40 37 22 0 0 0
11  0 838180 139212 115896 867616  228    0   640     0 32991 209254 41 36 23 0 0 0
 2  0 837988 134460 116144 867928  180    0   296     0 31040 201973 40 35 23 1 0 0
 1  0 837640 134352 116332 868008  344    0   352     0 32268 208931 37 39 23 1 0 0
 4  0 837460 133112 116396 868160  172    0   224     0 30205 221945 37 38 26 0 0 0
 2  0 837108 130340 116596 868500  344    0   356    28 42121 192244 41 39 19 0 0 0
 2  0 837000 130088 116832 868764  100    0   344     0 29058 214547 38 35 26 0 0 0
 1  0 836884 130684 116888 868764  112    0   112  4380 27063 224590 37 35 28 1 0 0
 7  0 836832 130104 117076 868876   44    0    44  2244 34388 195389 40 39 21 0 0 0
11  0 836712 129484 117224 869088  108    0   108     0 34256 210126 37 38 24 0 0 0
 4  0 838828 162660 115792 857228  224 2316   224  2344 32059 213454 38 38 24 0 0 0
 3  0 849952 171248 115952 860504 1332 12416 5444 12416 44708 175978 40 42 18 0 0 0
 2  0 848732 169940 116092 860788 1212    0  1212     0 32183 208752 39 37 23 0 0 0
 6  0 847872 165928 116232 860904  856    0   856     0 35112 206230 41 39 21 0 0 0
10  0 846268 160704 116452 861228 1596    0  1672     0 45763 193617 42 39 18 1 0 0
 3  0 846160 155668 116696 861340  100    0   100     0 45486 196284 43 40 17 0 0 0
 5  0 845108 151024 116824 861516 1048    0  1048    36 41257 203217 43 39 18 0 0 0
 7  0 843348 149956 117020 861804 1748    0  1748     0 56841 154052 64 31 5 0 0  0
 7  0 843156 146144 117356 862080  184    0   296     0 51502 176588 50 39 11 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0 843120 144248 117528 862216   32    0    32     0 38737 196651 44 38 18 0 0 0
11  0 842984 143772 117700 862336  128    0   128     0 40555 204352 43 37 19 0 0 0
 2  0 842468 142104 117924 862676  508    0   508    24 41290 195838 43 38 18 0 0 0
 5  0 842304 138680 118060 862720  160    0   160     0 34565 202070 41 38 21 0 0 0
 3  0 842020 135896 118220 862960  276    0   280     0 39635 197163 44 38 18 0 0 0
 2  0 841980 134636 118356 863096   52    0    72     0 31418 203907 37 38 24 0 0 0
 2  0 841600 133952 118448 863160  372    0   372     0 27594 213971 39 36 25 0 0 0
 7  0 840916 133956 118648 863232  676    0   676    32 32501 197397 40 38 22 0 0 0
 4  0 840776 133640 118732 863408  132    0   132     0 24962 225257 35 36 28 0 0 0
 6  0 840548 133416 118768 863480  168    0   168     0 25113 228798 37 34 29 0 0 0
 4  0 840120 131900 118844 863628  420    0   420     0 28372 213382 36 38 26 0 0 0
 4  0 839940 131840 118992 863800  172    0   172     0 31469 215001 39 35 26 0 0 0
10  0 839932 131148 119028 863756    0    0     0    24 25635 217456 36 35 29 0 0 0
 2  0 839628 127636 119144 863912  296    0   328     0 28206 208329 39 36 25 0 0 0
 3  0 838708 123844 119336 864064  912    0   916     0 30472 205998 40 35 25 0 0 0
 3  0 838596 123780 119428 864732  104    0   656     0 30210 220873 37 38 25 1 0 0
 2  0 838412 123276 119548 864940  292    0   292     0 43093 175932 45 38 16 1 0 0
13  0 829632 119856 119676 865004 11956   0 11956     0 53304 171767 48 43 9 1 0  0
