procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 479340 212368 1620440   0    0  6340   135 2732   62  9  5 84  2  0  0
 0  0      0 430980 213604 1654976   0    0 34660     0 4446 10367 6  5 82  7  0  0
 0  0      0 430980 213604 1654976   0    0     0     0  878 4817  3  2 96  0  0  0
 0  0      0 431108 213604 1652808   0    0     0     0  989 4986  2  2 96  1  0  0
 0  0      0 431012 213608 1652812   0    0     0     0 1182 6388  2  2 95  1  0  0
 0  0      0 417908 213608 1652812   0    0    48     0 1555 7483 12  3 85  1  0  0
 0  0      0 417908 213624 1652868   0    0     0    92 1034 5470  3  3 94  1  0  0
 0  0      0 417592 213624 1653060   0    0     0     0 1308 6545  2  2 95  1  0  0
 1  0      0 434924 213624 1653172   0    0   116   148 3980 74173 13 10 75 2  0  0
